Cluster.number	genenames
Cluster 11	Hdac8
Cluster 11	Hiat1
Cluster 11	Hnrnpdl
Cluster 11	Hprt1
Cluster 11	Hps5
Cluster 11	Hs3st1
Cluster 11	Hspa9
Cluster 11	Hspe1
Cluster 11	Idh3B
Cluster 11	Ifih1
Cluster 11	Ifngr2
Cluster 11	Ift122
Cluster 11	Igbp1
Cluster 11	Inpp5b
Cluster 11	Ints10
Cluster 11	Invs
Cluster 11	Iqcb1
Cluster 11	Irak2
Cluster 11	Itch
Cluster 11	Itga1
Cluster 11	Itih3
Cluster 11	Itm2a
Cluster 11	Ivns1abp
Cluster 11	Kantr
Cluster 11	Kars
Cluster 11	Kcnv1
Cluster 11	Kdm8
Cluster 11	Klhl6
Cluster 11	Kpna2
Cluster 11	Lamtor3
Cluster 11	Laptm4a
Cluster 11	Lgals1
Cluster 11	Lgi1
Cluster 11	Lig4
Cluster 11	Lin7c
Cluster 11	Lmnb1
Cluster 11	LOC100363521
Cluster 11	LOC100364673
Cluster 11	LOC100911367
Cluster 11	LOC100912041
Cluster 11	LOC361346
Cluster 11	LOC361635
Cluster 11	LOC498084
Cluster 11	LOC500959
Cluster 11	LOC680200
Cluster 11	Lrrc49
Cluster 11	Lrrc57
Cluster 11	Lum
Cluster 11	Lztfl1
Cluster 11	Magi1
Cluster 11	Mal
Cluster 11	Map3k7
Cluster 11	Map3k7cl
Cluster 11	March1
Cluster 11	Mctp2
Cluster 11	Mdh1b
Cluster 11	Mdm4
Cluster 11	Med6
Cluster 11	Mertk
Cluster 11	Mettl7a
Cluster 11	Mfn1
Cluster 11	Mfsd8
Cluster 11	Mir101a
Cluster 11	Mknk1
Cluster 11	Mlx
Cluster 11	Mpdu1
Cluster 11	Mpv17l
Cluster 11	Mrpl1
Cluster 11	Mrpl51
Cluster 11	Mrps31
Cluster 11	Mterf
Cluster 11	Mterfd1
Cluster 11	Mto1
Cluster 11	Mus81
Cluster 11	Mustn1
Cluster 11	Myl12a
Cluster 11	Myo19
Cluster 11	Naa40
Cluster 11	Nadsyn1
Cluster 11	Nap1l2
Cluster 11	Narf
Cluster 11	Nars2
Cluster 11	Ncald
Cluster 11	Nck1
Cluster 11	Ndc1
Cluster 11	Ndufa1
Cluster 11	Ndufa4
Cluster 11	Ndufaf4
Cluster 11	Ndufs1
Cluster 11	Necap1
Cluster 11	Nek7
Cluster 11	Nfrkb
Cluster 11	Nme7
Cluster 11	Noc2l
Cluster 11	Nop10
Cluster 11	Npepo
