Geneid,Genename,MDD.dACC.log2FoldChange,MDD.dACC.padj
ENSG00000182551,ADI1,-0.016183897,0.965507507
ENSG00000159346,ADIPOR1,0.049745557,0.502069631
ENSG00000006831,ADIPOR2,-0.03196592,0.934777708
ENSG00000156110,ADK,-0.025437857,0.93273794
ENSG00000148926,ADM,0.525106038,0.51517426
ENSG00000224420,ADM5,-0.079841021,0.893935504
ENSG00000101126,ADNP,-0.008161011,0.950946296
ENSG00000101544,ADNP2,0.058638774,0.460171874
ENSG00000181915,ADO,-0.077412842,0.701580336
ENSG00000163485,ADORA1,-0.052316447,0.756617925
ENSG00000128271,ADORA2A,0.056360847,0.945718667
ENSG00000170425,ADORA2B,0.126415653,0.741186109
ENSG00000159322,ADPGK,0.000730111,0.99643623
ENSG00000144843,ADPRH,-0.058474474,0.909876728
ENSG00000153531,ADPRHL1,0.087213672,0.61853032
ENSG00000116863,ADPRHL2,0.073429822,0.589463092
ENSG00000170222,ADPRM,-0.053341044,0.89016697
ENSG00000120907,ADRA1A,-0.09504533,0.59948815
ENSG00000170214,ADRA1B,0.038853967,0.913315431
ENSG00000171873,ADRA1D,-0.133331742,0.678384837
ENSG00000150594,ADRA2A,-0.100678312,0.607184388
ENSG00000184160,ADRA2C,0.044825418,0.907839811
ENSG00000043591,ADRB1,0.057374433,0.886503167
ENSG00000169252,ADRB2,-0.11111286,0.797961692
ENSG00000130706,ADRM1,-0.014467674,0.949017446
ENSG00000239900,ADSL,0.020899774,0.916098635
ENSG00000035687,ADSS,-0.008382956,0.985335953
ENSG00000185100,ADSSL1,0.069546641,0.847498945
ENSG00000111863,ADTRP,-0.105376459,0.732071987
ENSG00000106624,AEBP1,-0.019663783,0.982906832
ENSG00000139154,AEBP2,-0.019212137,0.915289462
ENSG00000181026,AEN,0.013650175,0.977400972
ENSG00000104964,AES,-0.020598856,0.919675089
ENSG00000196526,AFAP1,0.005394837,0.979342998
ENSG00000157510,AFAP1L1,-0.170475955,0.637497616
ENSG00000169129,AFAP1L2,-0.163173594,0.310472199
ENSG00000130396,AFDN,0.043377985,0.67702122
ENSG00000172493,AFF1,0.0203318,0.956763985
ENSG00000155966,AFF2,0.075350349,0.890430567
ENSG00000144218,AFF3,0.06704701,0.618627095
ENSG00000072364,AFF4,0.037416535,0.66123333
ENSG00000135537,AFG1L,-0.090368721,0.371833586
ENSG00000141385,AFG3L2,0.032368393,0.848902261
ENSG00000183077,AFMID,0.045074023,0.886774595
ENSG00000119844,AFTPH,-0.038567641,0.92288054
ENSG00000038002,AGA,-0.056836723,0.89164207
ENSG00000157985,AGAP1,0.02485931,0.82112507
ENSG00000135439,AGAP2,0.050098696,0.757119475
ENSG00000133612,AGAP3,0.057956484,0.620424524
ENSG00000188234,AGAP4,0.107588344,0.562850351
ENSG00000204149,AGAP6,0.031048359,0.893045313
ENSG00000204172,AGAP9,0.100598899,0.822430726
ENSG00000273540,AGBL1,0.298469892,0.372810762
ENSG00000146856,AGBL3,0.020454529,0.959577168
ENSG00000186094,AGBL4,0.138221522,0.287000817
ENSG00000084693,AGBL5,-0.019466257,0.911502798
ENSG00000204305,AGER,-0.031057651,0.961096431
ENSG00000173744,AGFG1,0.001348611,0.99643623
ENSG00000106351,AGFG2,0.016902319,0.970792758
ENSG00000164252,AGGF1,-0.020391388,0.949017446
ENSG00000006530,AGK,-0.009617519,0.969103044
ENSG00000162688,AGL,-0.061652975,0.707404771
ENSG00000116771,AGMAT,0.058982586,0.873132299
ENSG00000092847,AGO1,-0.061045268,0.385614882
ENSG00000123908,AGO2,0.014865533,0.948306728
ENSG00000126070,AGO3,-0.037684543,0.740477791
ENSG00000134698,AGO4,-0.012982993,0.949364761
ENSG00000204310,AGPAT1,0.019005923,0.915775763
ENSG00000169692,AGPAT2,0.143092078,0.424606735
ENSG00000160216,AGPAT3,-0.0256031,0.880677632
ENSG00000026652,AGPAT4,0.01752605,0.945951897
ENSG00000155189,AGPAT5,-0.089917789,0.405676934
ENSG00000018510,AGPS,-0.049938844,0.82112507
ENSG00000188157,AGRN,-0.054437963,0.847885835
ENSG00000159723,AGRP,-0.076196813,0.893265807
ENSG00000135744,AGT,-0.044589777,0.939382785
ENSG00000135049,AGTPBP1,-0.08638483,0.670453008
ENSG00000177674,AGTRAP,0.070813781,0.893265807
ENSG00000153207,AHCTF1,0.049565151,0.680267689
ENSG00000101444,AHCY,-0.003774723,0.990506835
ENSG00000168710,AHCYL1,0.025651468,0.957340128
ENSG00000158467,AHCYL2,-0.108615816,0.51070543
ENSG00000126705,AHDC1,0.047276941,0.809671238
ENSG00000135541,AHI1,0.009039567,0.975994777
ENSG00000124942,AHNAK,-0.115318985,0.795370702
ENSG00000185567,AHNAK2,0.096581247,0.652728406
ENSG00000106546,AHR,-0.058430419,0.820690703
ENSG00000063438,AHRR,0.235951957,0.164931513
ENSG00000100591,AHSA1,0.031111451,0.924772208
ENSG00000186063,AIDA,-0.020569308,0.949215742
ENSG00000204472,AIF1,-0.060703776,0.95555558
ENSG00000126878,AIF1L,-0.385070632,0.183037285
ENSG00000156709,AIFM1,-0.064959014,0.57737336
ENSG00000042286,AIFM2,0.027560949,0.940470578
ENSG00000183773,AIFM3,-0.162477434,0.62948692
ENSG00000146416,AIG1,-0.008236919,0.968696129
ENSG00000164022,AIMP1,-0.069905826,0.570692812
ENSG00000106305,AIMP2,-0.009324977,0.979312474
ENSG00000110711,AIP,-0.091543103,0.386817645
ENSG00000160224,AIRE,0.398544667,0.081313013
ENSG00000196581,AJAP1,0.043908165,0.838131823
ENSG00000232434,AJM1,-0.012499595,0.972972441
ENSG00000129474,AJUBA,-0.163483089,0.774677917
ENSG00000106992,AK1,-0.077946421,0.689380283
ENSG00000004455,AK2,-0.035684758,0.84819364
ENSG00000147853,AK3,-0.020963517,0.950946296
ENSG00000162433,AK4,-0.034215469,0.873401308
ENSG00000154027,AK5,0.043938692,0.935159788
ENSG00000085231,AK6,-0.041300789,0.944454728
ENSG00000140057,AK7,0.158329396,0.566644238
ENSG00000165695,AK8,0.124814713,0.591175278
ENSG00000155085,AK9,-0.103409322,0.405676934
ENSG00000231824,AKAIN1,-0.110023858,0.913066523
ENSG00000121057,AKAP1,0.019138532,0.909346704
ENSG00000108599,AKAP10,0.037310688,0.841612084
ENSG00000023516,AKAP11,0.004184148,0.994564635
ENSG00000131016,AKAP12,0.172799165,0.094873834
ENSG00000170776,AKAP13,0.087294381,0.573847064
ENSG00000197976,AKAP17A,0.039261623,0.864731194
ENSG00000111254,AKAP3,-0.13400487,0.709390638
ENSG00000179841,AKAP5,0.023768184,0.969755813
ENSG00000151320,AKAP6,-0.024964995,0.943283451
ENSG00000118507,AKAP7,-0.107960868,0.412294622
ENSG00000105127,AKAP8,0.02727442,0.879123343
ENSG00000011243,AKAP8L,0.135662272,0.115085691
ENSG00000127914,AKAP9,-0.012572849,0.949364761
ENSG00000166452,AKIP1,-0.065052085,0.574204292
ENSG00000174574,AKIRIN1,-0.013313247,0.951981081
ENSG00000135334,AKIRIN2,-0.005993087,0.986860553
ENSG00000106948,AKNA,0.025804862,0.937058091
ENSG00000117448,AKR1A1,-0.096588576,0.37597201
ENSG00000085662,AKR1B1,-0.000650563,0.997423281
ENSG00000187134,AKR1C1,-0.11785799,0.547807514
ENSG00000151632,AKR1C2,-0.123549464,0.708428711
ENSG00000196139,AKR1C3,-0.152176737,0.62948692
ENSG00000165568,AKR1E2,0.070118261,0.803010722
ENSG00000053371,AKR7A2,-0.04403916,0.807619894
ENSG00000162482,AKR7A3,-0.068085464,0.838658932
ENSG00000142208,AKT1,-0.053560143,0.732071987
ENSG00000204673,AKT1S1,-0.060816193,0.700169785
ENSG00000105221,AKT2,0.035475848,0.899126109
ENSG00000117020,AKT3,-0.061549945,0.672409408
ENSG00000166971,AKTIP,0.018109701,0.936510262
ENSG00000148218,ALAD,-0.075829834,0.62191581
ENSG00000023330,ALAS1,0.01057673,0.971009081
ENSG00000170017,ALCAM,-0.11753539,0.406417072
ENSG00000161618,ALDH16A1,-0.09521175,0.659434907
ENSG00000059573,ALDH18A1,0.044283762,0.684952576
ENSG00000165092,ALDH1A1,-0.385896164,0.08255787
ENSG00000128918,ALDH1A2,-0.010534778,0.983526705
ENSG00000184254,ALDH1A3,0.033401818,0.922990698
ENSG00000137124,ALDH1B1,-0.091211875,0.745949567
ENSG00000144908,ALDH1L1,0.160164679,0.752204584
ENSG00000136010,ALDH1L2,0.095485923,0.492733344
ENSG00000111275,ALDH2,-0.127675663,0.485881208
ENSG00000072210,ALDH3A2,0.091479204,0.369886215
ENSG00000006534,ALDH3B1,-0.100936551,0.79451899
ENSG00000159423,ALDH4A1,-0.116481803,0.815567152
ENSG00000112294,ALDH5A1,-0.026582993,0.848598595
ENSG00000119711,ALDH6A1,-0.122330457,0.671375983
ENSG00000164904,ALDH7A1,-0.145087075,0.507816076
ENSG00000118514,ALDH8A1,0.087306272,0.800341648
ENSG00000143149,ALDH9A1,-0.106875376,0.385010305
ENSG00000149925,ALDOA,0.031304905,0.9301585
ENSG00000136872,ALDOB,0.312314354,0.174791717
ENSG00000109107,ALDOC,-0.156591562,0.310943139
ENSG00000033011,ALG1,-0.005311156,0.982668047
ENSG00000139133,ALG10,-0.049396349,0.923655777
ENSG00000175548,ALG10B,0.003619845,0.993469394
ENSG00000253710,ALG11,-0.036170152,0.848598595
ENSG00000182858,ALG12,0.036351819,0.860438709
ENSG00000101901,ALG13,0.009977413,0.959142571
ENSG00000172339,ALG14,0.00847786,0.978573429
ENSG00000189366,ALG1L,0.054256398,0.9472459
ENSG00000251287,ALG1L2,-0.119162511,0.81973942
ENSG00000119523,ALG2,0.002995001,0.993469394
ENSG00000214160,ALG3,-0.046118991,0.803010722
ENSG00000120697,ALG5,-0.086644289,0.67702122
ENSG00000088035,ALG6,-0.073452017,0.841063172
ENSG00000159063,ALG8,-0.031947616,0.888605664
ENSG00000086848,ALG9,0.041173528,0.754905894
ENSG00000171094,ALK,0.017731438,0.9455997
ENSG00000189292,ALKAL2,0.052932191,0.907839811
ENSG00000100601,ALKBH1,-0.042239238,0.820409905
ENSG00000189046,ALKBH2,0.078656923,0.756080974
ENSG00000166199,ALKBH3,0.038391909,0.869968159
ENSG00000160993,ALKBH4,-0.021774882,0.918111168
ENSG00000091542,ALKBH5,0.00995839,0.954906421
ENSG00000239382,ALKBH6,-0.001818714,0.995755191
ENSG00000125652,ALKBH7,-0.042098893,0.860020764
ENSG00000137760,ALKBH8,-0.065652608,0.702070803
ENSG00000116127,ALMS1,-0.040626168,0.863664684
ENSG00000108839,ALOX12,-0.04451681,0.913682996
ENSG00000179477,ALOX12B,0.308135694,0.464838794
ENSG00000179593,ALOX15B,0.536227689,0.286168948
ENSG00000012779,ALOX5,0.260120354,0.499296384
