Geneid,Genename,MDD.sgPFC.log2FoldChange,MDD.sgPFC.padj
ENSG00000174574,AKIRIN1,0.050956611,0.340150566
ENSG00000135334,AKIRIN2,-0.023144542,0.868679316
ENSG00000106948,AKNA,-0.17953481,0.152217776
ENSG00000117448,AKR1A1,-0.095494296,0.201838249
ENSG00000085662,AKR1B1,-0.069817991,0.594605841
ENSG00000187134,AKR1C1,0.003880676,0.973334341
ENSG00000151632,AKR1C2,-0.14173701,0.324606768
ENSG00000196139,AKR1C3,-0.119400163,0.438597399
ENSG00000165568,AKR1E2,0.117966069,0.17319529
ENSG00000053371,AKR7A2,-0.156223138,0.028775875
ENSG00000162482,AKR7A3,-0.191350355,0.096276091
ENSG00000142208,AKT1,-0.202485304,0.00721273
ENSG00000204673,AKT1S1,-0.205099461,0.005366545
ENSG00000105221,AKT2,-0.195769893,0.058160141
ENSG00000117020,AKT3,0.175977625,0.060207913
ENSG00000166971,AKTIP,0.103453941,0.061458944
ENSG00000148218,ALAD,-0.105856431,0.37320989
ENSG00000023330,ALAS1,0.059635281,0.403539162
ENSG00000170017,ALCAM,0.197044902,0.053562003
ENSG00000161618,ALDH16A1,-0.372269577,0.006120929
ENSG00000059573,ALDH18A1,0.053024899,0.188984408
ENSG00000165092,ALDH1A1,-0.232952902,0.196496139
ENSG00000128918,ALDH1A2,0.001361351,0.991465329
ENSG00000184254,ALDH1A3,-0.095632347,0.276673249
ENSG00000137124,ALDH1B1,-0.022656079,0.894198853
ENSG00000144908,ALDH1L1,0.033623108,0.870347793
ENSG00000136010,ALDH1L2,0.225742388,0.02689282
ENSG00000111275,ALDH2,-0.13524938,0.168207281
ENSG00000072210,ALDH3A2,0.163804518,0.01497272
ENSG00000006534,ALDH3B1,-0.306811977,0.01739488
ENSG00000159423,ALDH4A1,-0.22188762,0.195625542
ENSG00000112294,ALDH5A1,0.048402125,0.429543046
ENSG00000119711,ALDH6A1,0.006208521,0.968967616
ENSG00000164904,ALDH7A1,-0.018132712,0.886916222
ENSG00000118514,ALDH8A1,-0.04781187,0.796265008
ENSG00000143149,ALDH9A1,0.055835876,0.556426508
ENSG00000149925,ALDOA,-0.009625899,0.931687632
ENSG00000136872,ALDOB,0.356027674,0.039064871
ENSG00000109107,ALDOC,-0.183384927,0.060342356
ENSG00000033011,ALG1,-0.109813164,0.051591259
ENSG00000139133,ALG10,0.406197326,0.006477893
ENSG00000175548,ALG10B,0.253214005,0.015174244
ENSG00000253710,ALG11,0.0710883,0.360730134
ENSG00000182858,ALG12,-0.205997445,0.01384899
ENSG00000101901,ALG13,0.097019307,0.414061508
ENSG00000172339,ALG14,0.112165756,0.13136172
ENSG00000189366,ALG1L,-0.189025053,0.281460132
ENSG00000251287,ALG1L2,0.087448445,0.620421937
ENSG00000119523,ALG2,-0.017254615,0.875313659
ENSG00000214160,ALG3,-0.139861167,0.073616928
ENSG00000120697,ALG5,0.197097484,0.036670794
ENSG00000088035,ALG6,0.26812487,0.039011168
ENSG00000159063,ALG8,0.135806179,0.060393618
ENSG00000086848,ALG9,0.127347203,0.06966217
ENSG00000171094,ALK,-0.23876717,0.001979679
ENSG00000189292,ALKAL2,-0.128885959,0.375317501
ENSG00000100601,ALKBH1,0.082858081,0.141947282
ENSG00000189046,ALKBH2,-0.039001663,0.678088494
ENSG00000166199,ALKBH3,0.062178222,0.396799961
ENSG00000160993,ALKBH4,-0.237488234,0.022300156
ENSG00000091542,ALKBH5,-0.057638802,0.2539054
ENSG00000239382,ALKBH6,-0.084099887,0.357927421
ENSG00000125652,ALKBH7,-0.301412088,0.020730458
ENSG00000137760,ALKBH8,0.171544697,0.095000827
ENSG00000116127,ALMS1,0.04901221,0.627023406
ENSG00000108839,ALOX12,-0.209648107,0.096461604
